Reproduction	Support	Langue	Contenu	Bibliographie	Description physique	Nombre de feuillets	Nom BNF	Dimensions	Cote actuelle
	Volume en papier.	Manuscrit en latin	Extraits des Pères de l'Église et des philosophes de l'antiquité.	F. 74v-75/1995/utilisé comme source pp. 123, 125/[Art. n° II : M.-T. d'ALVERNY, « Alain de Lille et le Theologia »,L'homme devant Dieu, Mélanges offerts au Père Henri de Lubac II., Paris, 1964, p. 111-128]/Marie-Thérèse d'ALVERNY,Pensée médiévale en Occident. Théologie, magie et autres textes des XIIe-XIIIesiècles, Aldershot, Variorum, 1995/Mss. [ 8° Impr. 8740 1970/cité parmi les sources p. 218/Wilhelm MEYERS,Carmina Burana,t. 1, Heidelberg, C. Winter Universitätsverlag, 1970/Mss. [ 8° Impr. 6974 / 2010/Marie-Hélène JULLIEN (éd.),Clavis scriptorum latinorum Medii Aevii. Auctores Galliae 735-987, III, Indices, Corpus Christianorum Continuatio Medievalis, Turnhout : Brepols, 2010, cité p. 383 / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 259. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 273. / Publiée en partie par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 277. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 279. / Publiée par M. Hauréau, ibid., p. 284. / Publiée en partie par M. Hauréau, ibid., p. 286. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 289. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 296. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 298. " Seignor, volez oir de patre decio... " / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 300. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 306. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 308. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 310. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 312.			FRBNFEAD000069865	292 × 210 mm.	F. 60
	Volume en papier.	Manuscrit en latin	" Hec sunt bona que facit confessio. Te pudor emendat... " 3 vers.	F. 74v-75/1995/utilisé comme source pp. 123, 125/[Art. n° II : M.-T. d'ALVERNY, « Alain de Lille et le Theologia »,L'homme devant Dieu, Mélanges offerts au Père Henri de Lubac II., Paris, 1964, p. 111-128]/Marie-Thérèse d'ALVERNY,Pensée médiévale en Occident. Théologie, magie et autres textes des XIIe-XIIIesiècles, Aldershot, Variorum, 1995/Mss. [ 8° Impr. 8740 1970/cité parmi les sources p. 218/Wilhelm MEYERS,Carmina Burana,t. 1, Heidelberg, C. Winter Universitätsverlag, 1970/Mss. [ 8° Impr. 6974 / 2010/Marie-Hélène JULLIEN (éd.),Clavis scriptorum latinorum Medii Aevii. Auctores Galliae 735-987, III, Indices, Corpus Christianorum Continuatio Medievalis, Turnhout : Brepols, 2010, cité p. 383 / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 259. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 273. / Publiée en partie par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 277. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 279. / Publiée par M. Hauréau, ibid., p. 284. / Publiée en partie par M. Hauréau, ibid., p. 286. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 289. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 296. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 298. " Seignor, volez oir de patre decio... " / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 300. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 306. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 308. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 310. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 312.			FRBNFEAD000069865	292 × 210 mm.	F. 68
	Volume en papier.	Manuscrit en latin	" Fabula dicit omnes bestias fetus suos Jovi presentasse probandos, inter quos simia deformem natum... "	F. 74v-75/1995/utilisé comme source pp. 123, 125/[Art. n° II : M.-T. d'ALVERNY, « Alain de Lille et le Theologia »,L'homme devant Dieu, Mélanges offerts au Père Henri de Lubac II., Paris, 1964, p. 111-128]/Marie-Thérèse d'ALVERNY,Pensée médiévale en Occident. Théologie, magie et autres textes des XIIe-XIIIesiècles, Aldershot, Variorum, 1995/Mss. [ 8° Impr. 8740 1970/cité parmi les sources p. 218/Wilhelm MEYERS,Carmina Burana,t. 1, Heidelberg, C. Winter Universitätsverlag, 1970/Mss. [ 8° Impr. 6974 / 2010/Marie-Hélène JULLIEN (éd.),Clavis scriptorum latinorum Medii Aevii. Auctores Galliae 735-987, III, Indices, Corpus Christianorum Continuatio Medievalis, Turnhout : Brepols, 2010, cité p. 383 / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 259. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 273. / Publiée en partie par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 277. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 279. / Publiée par M. Hauréau, ibid., p. 284. / Publiée en partie par M. Hauréau, ibid., p. 286. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 289. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 296. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 298. " Seignor, volez oir de patre decio... " / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 300. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 306. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 308. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 310. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 312.			FRBNFEAD000069865	292 × 210 mm.	F. 68
	Volume en papier.	Manuscrit en latin	" Ignis quatuor habet virtutes sive naturas... "	F. 74v-75/1995/utilisé comme source pp. 123, 125/[Art. n° II : M.-T. d'ALVERNY, « Alain de Lille et le Theologia »,L'homme devant Dieu, Mélanges offerts au Père Henri de Lubac II., Paris, 1964, p. 111-128]/Marie-Thérèse d'ALVERNY,Pensée médiévale en Occident. Théologie, magie et autres textes des XIIe-XIIIesiècles, Aldershot, Variorum, 1995/Mss. [ 8° Impr. 8740 1970/cité parmi les sources p. 218/Wilhelm MEYERS,Carmina Burana,t. 1, Heidelberg, C. Winter Universitätsverlag, 1970/Mss. [ 8° Impr. 6974 / 2010/Marie-Hélène JULLIEN (éd.),Clavis scriptorum latinorum Medii Aevii. Auctores Galliae 735-987, III, Indices, Corpus Christianorum Continuatio Medievalis, Turnhout : Brepols, 2010, cité p. 383 / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 259. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 273. / Publiée en partie par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 277. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 279. / Publiée par M. Hauréau, ibid., p. 284. / Publiée en partie par M. Hauréau, ibid., p. 286. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 289. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 296. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 298. " Seignor, volez oir de patre decio... " / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 300. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 306. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 308. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 310. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 312.			FRBNFEAD000069865	292 × 210 mm.	F. 68
	Volume en papier.	Manuscrit en latin	" Ista sunt peccata que retinent episcopi. Peccata contra naturam, incestus... "	F. 74v-75/1995/utilisé comme source pp. 123, 125/[Art. n° II : M.-T. d'ALVERNY, « Alain de Lille et le Theologia »,L'homme devant Dieu, Mélanges offerts au Père Henri de Lubac II., Paris, 1964, p. 111-128]/Marie-Thérèse d'ALVERNY,Pensée médiévale en Occident. Théologie, magie et autres textes des XIIe-XIIIesiècles, Aldershot, Variorum, 1995/Mss. [ 8° Impr. 8740 1970/cité parmi les sources p. 218/Wilhelm MEYERS,Carmina Burana,t. 1, Heidelberg, C. Winter Universitätsverlag, 1970/Mss. [ 8° Impr. 6974 / 2010/Marie-Hélène JULLIEN (éd.),Clavis scriptorum latinorum Medii Aevii. Auctores Galliae 735-987, III, Indices, Corpus Christianorum Continuatio Medievalis, Turnhout : Brepols, 2010, cité p. 383 / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 259. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 273. / Publiée en partie par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 277. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 279. / Publiée par M. Hauréau, ibid., p. 284. / Publiée en partie par M. Hauréau, ibid., p. 286. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 289. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 296. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 298. " Seignor, volez oir de patre decio... " / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 300. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 306. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 308. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 310. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 312.			FRBNFEAD000069865	292 × 210 mm.	F. 68
	Volume en papier.	Manuscrit en latin	" Desertum est cor malum, quia cultum non est... "	F. 74v-75/1995/utilisé comme source pp. 123, 125/[Art. n° II : M.-T. d'ALVERNY, « Alain de Lille et le Theologia »,L'homme devant Dieu, Mélanges offerts au Père Henri de Lubac II., Paris, 1964, p. 111-128]/Marie-Thérèse d'ALVERNY,Pensée médiévale en Occident. Théologie, magie et autres textes des XIIe-XIIIesiècles, Aldershot, Variorum, 1995/Mss. [ 8° Impr. 8740 1970/cité parmi les sources p. 218/Wilhelm MEYERS,Carmina Burana,t. 1, Heidelberg, C. Winter Universitätsverlag, 1970/Mss. [ 8° Impr. 6974 / 2010/Marie-Hélène JULLIEN (éd.),Clavis scriptorum latinorum Medii Aevii. Auctores Galliae 735-987, III, Indices, Corpus Christianorum Continuatio Medievalis, Turnhout : Brepols, 2010, cité p. 383 / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 259. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 273. / Publiée en partie par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 277. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 279. / Publiée par M. Hauréau, ibid., p. 284. / Publiée en partie par M. Hauréau, ibid., p. 286. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 289. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 296. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 298. " Seignor, volez oir de patre decio... " / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 300. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 306. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 308. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 310. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 312.			FRBNFEAD000069865	292 × 210 mm.	F. 68
	Volume en papier.	Manuscrit en latin	Pièce de cinq strophes, publiée par M. Hauréau, Notices et extraits des manuscrits, t. XXXII, part. I, p. 254. Premiers mots : " Quid in hac miseria... "	F. 74v-75/1995/utilisé comme source pp. 123, 125/[Art. n° II : M.-T. d'ALVERNY, « Alain de Lille et le Theologia »,L'homme devant Dieu, Mélanges offerts au Père Henri de Lubac II., Paris, 1964, p. 111-128]/Marie-Thérèse d'ALVERNY,Pensée médiévale en Occident. Théologie, magie et autres textes des XIIe-XIIIesiècles, Aldershot, Variorum, 1995/Mss. [ 8° Impr. 8740 1970/cité parmi les sources p. 218/Wilhelm MEYERS,Carmina Burana,t. 1, Heidelberg, C. Winter Universitätsverlag, 1970/Mss. [ 8° Impr. 6974 / 2010/Marie-Hélène JULLIEN (éd.),Clavis scriptorum latinorum Medii Aevii. Auctores Galliae 735-987, III, Indices, Corpus Christianorum Continuatio Medievalis, Turnhout : Brepols, 2010, cité p. 383 / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 259. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 273. / Publiée en partie par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 277. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 279. / Publiée par M. Hauréau, ibid., p. 284. / Publiée en partie par M. Hauréau, ibid., p. 286. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 289. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 296. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 298. " Seignor, volez oir de patre decio... " / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 300. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 306. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 308. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 310. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 312.			FRBNFEAD000069865	292 × 210 mm.	F. 68 v°
	Volume en papier.	Manuscrit en latin	" Comparatio Philomene ad animam bene Deum diligentem. Philomena previa... " Pièce souvent attribuée à saint Bonaventure.	F. 74v-75/1995/utilisé comme source pp. 123, 125/[Art. n° II : M.-T. d'ALVERNY, « Alain de Lille et le Theologia »,L'homme devant Dieu, Mélanges offerts au Père Henri de Lubac II., Paris, 1964, p. 111-128]/Marie-Thérèse d'ALVERNY,Pensée médiévale en Occident. Théologie, magie et autres textes des XIIe-XIIIesiècles, Aldershot, Variorum, 1995/Mss. [ 8° Impr. 8740 1970/cité parmi les sources p. 218/Wilhelm MEYERS,Carmina Burana,t. 1, Heidelberg, C. Winter Universitätsverlag, 1970/Mss. [ 8° Impr. 6974 / 2010/Marie-Hélène JULLIEN (éd.),Clavis scriptorum latinorum Medii Aevii. Auctores Galliae 735-987, III, Indices, Corpus Christianorum Continuatio Medievalis, Turnhout : Brepols, 2010, cité p. 383 / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 259. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 273. / Publiée en partie par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 277. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 279. / Publiée par M. Hauréau, ibid., p. 284. / Publiée en partie par M. Hauréau, ibid., p. 286. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 289. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 296. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 298. " Seignor, volez oir de patre decio... " / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 300. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 306. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 308. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 310. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 312.			FRBNFEAD000069865	292 × 210 mm.	F. 69
	Volume en papier.	Manuscrit en latin	" Excitacio ad psallendum in choro. Dum in nocte video... " Pièce qu'on a faussement attribuée à saint Bernard et qui est intitulée : " Torneamentum beati Bernardi " dans d'autres manuscrits.	F. 74v-75/1995/utilisé comme source pp. 123, 125/[Art. n° II : M.-T. d'ALVERNY, « Alain de Lille et le Theologia »,L'homme devant Dieu, Mélanges offerts au Père Henri de Lubac II., Paris, 1964, p. 111-128]/Marie-Thérèse d'ALVERNY,Pensée médiévale en Occident. Théologie, magie et autres textes des XIIe-XIIIesiècles, Aldershot, Variorum, 1995/Mss. [ 8° Impr. 8740 1970/cité parmi les sources p. 218/Wilhelm MEYERS,Carmina Burana,t. 1, Heidelberg, C. Winter Universitätsverlag, 1970/Mss. [ 8° Impr. 6974 / 2010/Marie-Hélène JULLIEN (éd.),Clavis scriptorum latinorum Medii Aevii. Auctores Galliae 735-987, III, Indices, Corpus Christianorum Continuatio Medievalis, Turnhout : Brepols, 2010, cité p. 383 / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 259. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 273. / Publiée en partie par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 277. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 279. / Publiée par M. Hauréau, ibid., p. 284. / Publiée en partie par M. Hauréau, ibid., p. 286. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 289. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 296. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 298. " Seignor, volez oir de patre decio... " / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 300. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 306. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 308. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 310. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 312.			FRBNFEAD000069865	292 × 210 mm.	F. 72 v°
	Volume en papier.	Manuscrit en latin	" Salutatio beate Marie. Ave, Dei genitrix et immaculata... "	F. 74v-75/1995/utilisé comme source pp. 123, 125/[Art. n° II : M.-T. d'ALVERNY, « Alain de Lille et le Theologia »,L'homme devant Dieu, Mélanges offerts au Père Henri de Lubac II., Paris, 1964, p. 111-128]/Marie-Thérèse d'ALVERNY,Pensée médiévale en Occident. Théologie, magie et autres textes des XIIe-XIIIesiècles, Aldershot, Variorum, 1995/Mss. [ 8° Impr. 8740 1970/cité parmi les sources p. 218/Wilhelm MEYERS,Carmina Burana,t. 1, Heidelberg, C. Winter Universitätsverlag, 1970/Mss. [ 8° Impr. 6974 / 2010/Marie-Hélène JULLIEN (éd.),Clavis scriptorum latinorum Medii Aevii. Auctores Galliae 735-987, III, Indices, Corpus Christianorum Continuatio Medievalis, Turnhout : Brepols, 2010, cité p. 383 / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 259. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 273. / Publiée en partie par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 277. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 279. / Publiée par M. Hauréau, ibid., p. 284. / Publiée en partie par M. Hauréau, ibid., p. 286. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 289. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 296. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 298. " Seignor, volez oir de patre decio... " / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 300. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 306. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 308. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 310. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 312.			FRBNFEAD000069865	292 × 210 mm.	F. 73 v°
	Volume en papier.	Manuscrit en latin	" Pièce de sept strophes, qui paraît être d'Alain de Lille. " Exceptivam actionem... "	F. 74v-75/1995/utilisé comme source pp. 123, 125/[Art. n° II : M.-T. d'ALVERNY, « Alain de Lille et le Theologia »,L'homme devant Dieu, Mélanges offerts au Père Henri de Lubac II., Paris, 1964, p. 111-128]/Marie-Thérèse d'ALVERNY,Pensée médiévale en Occident. Théologie, magie et autres textes des XIIe-XIIIesiècles, Aldershot, Variorum, 1995/Mss. [ 8° Impr. 8740 1970/cité parmi les sources p. 218/Wilhelm MEYERS,Carmina Burana,t. 1, Heidelberg, C. Winter Universitätsverlag, 1970/Mss. [ 8° Impr. 6974 / 2010/Marie-Hélène JULLIEN (éd.),Clavis scriptorum latinorum Medii Aevii. Auctores Galliae 735-987, III, Indices, Corpus Christianorum Continuatio Medievalis, Turnhout : Brepols, 2010, cité p. 383 / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 259. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 273. / Publiée en partie par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 277. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 279. / Publiée par M. Hauréau, ibid., p. 284. / Publiée en partie par M. Hauréau, ibid., p. 286. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 289. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 296. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 298. " Seignor, volez oir de patre decio... " / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 300. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 306. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 308. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 310. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 312.			FRBNFEAD000069865	292 × 210 mm.	F. 74 v°
	Volume en papier.	Manuscrit en latin	Note sur les trois Maries.	F. 74v-75/1995/utilisé comme source pp. 123, 125/[Art. n° II : M.-T. d'ALVERNY, « Alain de Lille et le Theologia »,L'homme devant Dieu, Mélanges offerts au Père Henri de Lubac II., Paris, 1964, p. 111-128]/Marie-Thérèse d'ALVERNY,Pensée médiévale en Occident. Théologie, magie et autres textes des XIIe-XIIIesiècles, Aldershot, Variorum, 1995/Mss. [ 8° Impr. 8740 1970/cité parmi les sources p. 218/Wilhelm MEYERS,Carmina Burana,t. 1, Heidelberg, C. Winter Universitätsverlag, 1970/Mss. [ 8° Impr. 6974 / 2010/Marie-Hélène JULLIEN (éd.),Clavis scriptorum latinorum Medii Aevii. Auctores Galliae 735-987, III, Indices, Corpus Christianorum Continuatio Medievalis, Turnhout : Brepols, 2010, cité p. 383 / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 259. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 273. / Publiée en partie par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 277. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 279. / Publiée par M. Hauréau, ibid., p. 284. / Publiée en partie par M. Hauréau, ibid., p. 286. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 289. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 296. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 298. " Seignor, volez oir de patre decio... " / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 300. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 306. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 308. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 310. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 312.			FRBNFEAD000069865	292 × 210 mm.	F. 75
	Volume en papier.	Manuscrit en latin	" Salutationes beate Virginis. Vale, sole clarior atque luna pulcrior... "	F. 74v-75/1995/utilisé comme source pp. 123, 125/[Art. n° II : M.-T. d'ALVERNY, « Alain de Lille et le Theologia »,L'homme devant Dieu, Mélanges offerts au Père Henri de Lubac II., Paris, 1964, p. 111-128]/Marie-Thérèse d'ALVERNY,Pensée médiévale en Occident. Théologie, magie et autres textes des XIIe-XIIIesiècles, Aldershot, Variorum, 1995/Mss. [ 8° Impr. 8740 1970/cité parmi les sources p. 218/Wilhelm MEYERS,Carmina Burana,t. 1, Heidelberg, C. Winter Universitätsverlag, 1970/Mss. [ 8° Impr. 6974 / 2010/Marie-Hélène JULLIEN (éd.),Clavis scriptorum latinorum Medii Aevii. Auctores Galliae 735-987, III, Indices, Corpus Christianorum Continuatio Medievalis, Turnhout : Brepols, 2010, cité p. 383 / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 259. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 273. / Publiée en partie par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 277. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 279. / Publiée par M. Hauréau, ibid., p. 284. / Publiée en partie par M. Hauréau, ibid., p. 286. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 289. / Publié par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 296. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 298. " Seignor, volez oir de patre decio... " / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 300. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII, part. I, p. 306. / Publiée par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 308. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 310. / Publiée, par M. Hauréau, Notices et extraits des mss., t. XXXII. part. I, p. 312.			FRBNFEAD000069865	292 × 210 mm.	F. 75
